Metals and Alloys,Unit,Quantity 2010-11(R),Value 2010-11(R),Quantity 2011-12,Value 2011-12
"Platinum,Alloys and related Metals - Platinum (powder,unwrought and others)",Kg,191,183203,352,188899
"Platinum,Alloys and related Metals - Other metals of platinum group",Kg,3176,48742,30,24271
Platinum-clad base /precious metals,Kg,640,24653,1,362
Preciuos metals/metals clad with preciuos metals,tonne,870,18962966,719,20176997
Selenium,tonne,193,722450,184,1187692
Silver,tonne,50,1063414,41,1296694
Silver clad base metals,Kg,13953,224466,12055,33044
Silicon,tonne,201,24020,247,23896
Tantalum and scrap - Total,tonne,5,23218,2,35834
Tantalum and scrap - Tantalum alloys unwrought,tonne,3,9280,NA,11957
Tantalum and scrap - Tantalum and scrap,tonne,2,13938,2,23877
Tellurium,tonne,58,13331,13,836
Tin and alloys (incl. scrap) - Total,tonne,1900,403662,1673,413908
Tin and alloys (incl. scrap) - Tin and alloys,tonne,274,195481,344,277913
Tin and alloys (incl. scrap) - Tin and alloys Worked,tonne,1535,189388,1317,130331
Tin and alloys (incl. scrap) - Tin (scrap),tonne,91,18793,12,5664
Titanium and Alloys (incl. waste and scrap ),tonne,211,233571,399,338371
Tungsten alloys and scrap,Kg,430970,669662,638430,1423388
Zinc and alloys (incl. scrap) - Total,tonne,264251,32248477,295071,36266217
Zinc and alloys (incl. scrap) - Zinc and alloys,tonne,264219,32244982,295033,36262165
Zinc and alloys (incl. scrap) - Zinc (scrap),tonne,32,3495,38,4052
Zirconium and Scrap,tonne,26,6799,645,112251
